LONG,LAT,ADMIN,TRIPS_WAIVER,TRIPS_WAIVER_1,LAST_UPDATED
66.59216131,34.13402601,Afghanistan,1,Yes,1/18/2022
17.47800805,-11.89758948,Angola,1,Yes,
-61.79187003,17.32188359,Antigua and Barbuda,1,Yes,
-64.44315167,-37.60564453,Argentina,1,Yes,
137.1165643,-30.13416028,Australia,1,Yes,
13.79777836,47.63185827,Austria,0,No,
-75.94757049,23.97198084,Bahamas,1,Yes,
50.62094027,25.96443467,Bahrain,3,Unknown,
90.43212563,23.67372867,Bangladesh,1,Yes,
-59.55738395,13.18321937,Barbados,1,Yes,
4.675010155,50.61821389,Belgium,0,No,
-88.5802148,17.29459369,Belize,1,Yes,
2.305714529,9.5030132,Benin,1,Yes,
90.46716647,27.42163934,Bhutan,1,Yes,
-64.45209598,-16.73124884,Bolivia,1,Yes,
23.85779957,-22.236609,Botswana,1,Yes,
-54.35520661,-11.52463042,Brazil,1,Yes,
114.793624,4.52456453,Brunei,3,Unknown,
25.25173912,42.82043677,Bulgaria,0,No,
-1.693281621,12.10870904,Burkina Faso,1,Yes,
29.88518228,-3.261251993,Burundi,1,Yes,
-23.96744314,16.0683021,Cabo Verde,1,Yes,
105.0397308,12.69918687,Cambodia,1,Yes,
12.94847414,6.294168487,Cameroon,1,Yes,
-106.40932,56.59004,Canada,2,Undecided,
20.52074342,6.331390034,Central African Republic,1,Yes,
18.4271139,15.28349355,Chad,1,Yes,
-70.6969,-29.97267,Chile,2,Undecided,
105.4512055,37.45864008,China,1,Yes,
121.00788,23.76083,Chinese Taipei,3,Unknown,
-73.84582518,5.29423461,Colombia,1,Yes,
-0.36836,15.60641,Congo,1,Yes,
-84.14673626,9.863467407,Costa Rica,1,Yes,
-5.571710195,7.536779279,Côte d’Ivoire,1,Yes,
16.78281841,44.64931472,Croatia,0,No,
-78.31207,21.63407,Cuba,1,Yes,
33.37534601,35.11700416,Cyprus,0,No,
15.38327329,49.74917371,Czech Republic,0,No,
23.41982757,-3.338629596,Democratic Republic of the Congo,1,Yes,
11.00211248,55.91555313,Denmark,0,No,
42.6134969,11.75023573,Djibouti,1,Yes,
-61.36047195,15.42926986,Dominica,1,Yes,
-70.40475974,18.755426,Dominican Republic,1,Yes,
-82.33897596,-1.298065434,Ecuador,1,Yes,
30.24013544,26.60517034,Egypt,1,Yes,
-88.85911489,13.75804152,El Salvador,0,No,
25.23640542,58.57756954,Estonia,0,No,
31.51068575,-26.56254094,eSwatini,1,Yes,
39.91490289,8.729389557,Ethiopia,1,Yes,
177.96118,-17.79814,Fiji,1,Yes,
26.34168,62.84425,Finland,0,No,
2.936178132,46.2041093,France,0,No,
11.8394109,-0.62844846,Gabon,1,Yes,
-14.991931,13.676609,Gambia,1,Yes,
43.37886653,42.17986278,Georgia,3,Unknown,
10.46159125,51.14928159,Germany,0,No,
-1.219233363,7.945304672,Ghana,1,Yes,
24.25559639,38.41864937,Greece,0,No,
-61.67937937,12.11292666,Grenada,1,Yes,
-90.31219349,15.82087852,Guatemala,3,Unknown,
-10.98694885,10.25598654,Guinea,1,Yes,
-15.1530597,11.89051006,Guinea-Bissau,1,Yes,
-58.91352613,4.682119814,Guyana,1,Yes,
-72.88622714,18.91176863,Haiti,1,Yes,
-86.48189285,14.81443361,Honduras,3,Unknown,
